tags: va::level-2
Advocate,[AD-vuh-kayt],"To support, plead for, be in favor of, defend by argument; especially, to speak or write in favor or in defense of a person or cause. Synonyms include champion, endorse, and espouse (e-SPOWZ).<br>Advocate comes from the Latin ad-, to, and vocare, to call, summon. You can hear the Latin vocare in the English words vocation (voh-KAY-shin), a calling, profession; avocation, a hobby, sideline, subordinate occupation; and vocational, pertaining to an occupation or trade.<br>Combine the Latin vocare, to call, with the prefix con-, together, and you get the more difficult English words convoke (kun-VOHK), which means to call together, and convocation (KAHN-vuh-KAY-shin), the act of calling together or a group that has been summoned. Combine the single-letter prefix e-, which is short for the Latin ex-, out, with vocare, to call, and you get the English words evoke, to call out, call forth, summon, and evocative (i-VAHK-uh-tiv), calling forth a response, especially an emotional response. Vocare also can be heard in the common word vocal, spoken, oral, inclined to speak out.<br>An advocate is a vocal supporter or defender of a cause, a champion: ""He is an outspoken advocate of handgun control."" An advocate may also be a person who speaks for another, for example, a lawyer who pleads a case before a court. To advocate means to support, plead for, defend by argument: ""Their organization advocates educational reform.""<br><br>To support, plead for, be in favor of, defend by argument; especially, to speak or write in favor or in defense of a person or cause. Synonyms: champion, endorse, espouse.<br>Corresponding noun: advocate, a supporter or defender of a cause, a champion, or a person who speaks for another.<br>Related words (from the Latin vocare, to call, summon): vocation; avocation; vocational; vocal; convoke, to call together; convocation, the act of calling together, or a group that has been summoned; evoke, to call out, call forth; and evocative, calling forth a response, especially an emotional one."
Delegate,[DEL-uh-gayt],"To entrust with authority or power, deliver to another's care or management, hand over to an agent or representative: ""The executive director delegated various managerial duties to her assistant""; ""Our department chief has trouble letting go of the reins and delegating responsibility.""<br><br>To entrust with authority or power, deliver to another's care or management, hand over to an agent or representative."
Unprecedented,[uhn-PRES-i-den-tid],"Unheard-of, novel, new, having no precedent or parallel, having no prior example.<br>A precedent is an authoritative example, something done or said that may serve as a reason to justify a later act or statement. Precedent is often used specifically of a legal decision or case used as an example or as authorization in a subsequent decision or case. Unprecedented means without a precedent, without prior example or justification, and so unheard-of, novel, new.<br><br>Unheard-of, novel, new, having no precedent or parallel, having no prior example or justification."
Poignant,[POYN-yint],"Piercing, sharp, biting, penetrating, keen.<br>Poignant is used to mean piercing, sharp, or penetrating in three ways. First, it may mean keenly affecting the senses: a poignant odor, poignant beauty, a poignant look. Second, it may mean piercing or penetrating to the feelings, emotionally touching, painfully moving: a poignant drama, a poignant family reunion. Third, it may mean biting, cutting, acute, piercingly effective: poignant wit, poignant delight, a poignant critique.<br>The odd spelling of poignant, with its silent g, comes from French; the word ultimately comes from the Latin pungere, to pierce or prick. Pungere is also the source of puncture, to pierce; pungent (PUHN-jint), piercing to the smell or taste; and expunge (ek-SPUHNJ), to punch out, erase, delete: ""The editor expunged all potentially offensive and derogatory material from the book.""<br>Poignant means piercing or penetrating to the senses, to the emotions, or to the intellect.<br><br>Piercing, sharp, penetrating; specifically, piercing or penetrating to the senses, to the emotions, or to the intellect.<br>Synonyms: biting, cutting, keen, acute.<br>Related words (from the Latin pungere, to pierce or prick): puncture; pungent, piercing to the smell or taste; expunge, to punch out, erase, delete."
Nebulous,[NEB-yuh-lus],"Unclear, vague, obscure, hazy, indefinite, indistinct.<br>In astronomy the word nebula (NEB-yuh-luh) refers to a cloudy mass of dust or gas visible between stars in space. The plural is nebulae (NEB-yuh-lee).<br>The adjectives nebular and nebulous both come from a Latin word meaning cloudy, misty, foggy, like a nebula, and according to dictionaries both words may still be used in this sense. It is probably best, however, to let nebular take over the meaning cloudy, misty, vaporous, and to use nebulous in its more popular sense of vague, indefinite, hazy, unclear, as in nebulous writing, a nebulous idea, a nebulous purpose or goal.<br><br>Unclear, vague, obscure, hazy, indefinite, indistinct.<br>Related word: nebula, a cloudy mass of dust or gas visible between stars in space (plural, nebulae)."
Clandestine,[klan-DES-tin],"Kept secret, done in secrecy, especially for an evil, immoral, or illegal purpose: a clandestine affair; a clandestine business deal; a clandestine intelligence operation.<br>Synonyms include private, concealed, covert (properly KUH-vurt but now often KOH-vurt), underhand, sly, stealthy, furtive (FUR-tiv), and surreptitious (SUR-up-TISH-us).<br>Clandestine is sometimes pronounced klan-DES-tyn, klan-DES-teen, KLAN-des-tyn, or KLAN-des-teen. You should avoid all these recent variants. The traditional and preferred pronunciation is klan-DES-tin (DES-tin as in destiny).<br><br>Kept secret, done in secrecy, especially for an evil, immoral, or illegal purpose.<br>Synonyms: private, concealed, covert, underhand, sly, stealthy, furtive, surreptitious.<br>Pronunciation tip: Avoid the recent variants klanDES-tyn, klan-DES-teen, KLAN-destyn, and KLAN-des-teen. The traditional and preferred pronunciation is klan-DES-tin."
Tirade,[TY-rayd],"A long-drawn-out speech, especially a vehement and abusive one: ""After suffering through yet another one of his boss's frequent tirades, Joe decided it was time to quit and move on.""<br>Tirades have three characteristics: they are protracted (proh-TRAK-tid), drawn out to great length; they are vituperative (vy-T(Y)OO-pur-uh-tiv), full of harsh, abusive language; and they are censorious, meaning that they tend to censure (SEN-shur), to blame or condemn.<br>Tirade may also be pronounced with the accent on the second syllable: ty-RAYD.<br><br>A long-drawn-out speech, especially a vehement and abusive one.<br>Additional useful words: protracted, drawn out to great length (see Level 3, Word 25); vituperative, full of harsh, abusive language; censorious, tending to censor, to blame or condemn."
Recur,[ri-KUR],"To happen again, occur again, especially at intervals or after some lapse of time.<br>In The Careful Writer, Theodore M. Bernstein explains the difference between the words recur and reoccur: Both mean to happen again, he says, but reoccur ""suggests a one-time repetition,"" whereas recur ""suggests repetition more than once."" Thus you would say ""the revolt is not likely to reoccur,"" but ""as long as these skirmishes recur, the revolt will continue.""<br>Here's another example: If economists predict that a recession will reoccur in this decade, that means they're predicting it will happen only one more time. If economists predict that recession recurs on average every ten years, then they're predicting it happens again and again at intervals.<br>""It is the ability to feel a fine distinction such as this,"" writes Bernstein, ""and to choose the word that precisely expresses the thought that marks the writer of competence and taste."" <br>To happen again, occur again, especially at intervals or after some lapse of time.<br>N.B. This discussion explains the distinction between the verbs recur and reoccur."
Tacit,[TAS-it],"Unspoken, silent, implied or understood without words.<br>Tacit is most often used to mean done or made in silence, not expressed or declared openly. Tacit consent is approval given without words, perhaps with a look or a nod. A tacit agreement is an unspoken understanding, one arrived at in silence. Tacit comes from the Latin tacere, to be silent, hold one's tongue, the source also of the word taciturn, reserved, uncommunicative, inclined to hold one's tongue.<br><br>Unspoken, silent, implied or understood without words, done or made in silence, not expressed or declared openly.<br>Related word: taciturn (Level 3, Word 2)."
Allegation,[AL-uh-GAY-shin],"An assertion or declaration, especially one made without proof.<br>In law, an allegation is an assertion of what one intends to prove. Often the word implies an unsupportable assertion: ""The judge dismissed the allegations, citing lack of evidence to support them."" ""A spokesperson for the company today denied the allegations of wrongdoing regarding the firm's hiring practices.""<br>An assertion or declaration, especially one made without proof. In law, an allegation is an assertion. of what one intends to prove."
